dataset,sssp_iter0_ms,cc_iter0_ms,pr_iter0_ms
rmat-19-32,127491.0,102117.0,103066.0
rmat-21-32,518022.0,460235.0,425525.0
rmat-24-16,2182430.0,1775060.0,1779060.0
wiki-topcats-categories,38790.7,,
amazon-2008,54362.4,37497.1,39071.0
ca-hollywood-2009,382845.0,383550.0,375213.0
dbpedia-link,1200800.0,919567.0,925533.0
graph500-scale23-ef16_adj,1764760.0,1712790.0,1733300.0
soc-LiveJournal1,482276.0,503904.0,494322.0
soc-flickr-und,160876.0,108597.0,110554.0
soc-orkut-dir,1122250.0,778139.0,798330.0
web-Google,37431.0,38508.9,40407.8
web-baidu-baike,127583.0,122769.0,125375.0
web-hudong,105125.0,144359.0,125415.0
wiki-topcats,201528.0,196393.0,200107.0
